lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
-6.8490937,0.98112458,1.0982896,1,3,0,7.5673618,0.19679306
-6.8653097,0.92361582,1.0982896,2,3,0,7.3325968,0.31352837
-7.1328814,0.90522866,1.0982896,1,1,0,7.1532274,0.36866709
-7.1443688,0.99554169,1.0982896,1,1,0,7.2841597,0.37053201
-6.7575242,0.88295672,1.0982896,2,3,0,7.6198643,0.2330373
-6.7678045,0.91132769,1.0982896,2,3,0,7.2089931,0.27539535
-7.7248304,0.76972361,1.0982896,1,3,0,7.7329725,0.44465172
-8.113396,0.95037606,1.0982896,2,3,0,8.4633791,0.48235329
-11.149603,0.29162466,1.0982896,1,1,0,11.500668,0.66868963
-6.8068628,1,1.0982896,1,3,0,10.03945,0.20883778
-6.8699029,0.97682391,1.0982896,2,3,0,6.9851462,0.31481358
-6.8699029,0.56208473,1.0982896,1,3,0,9.0656304,0.31481358
-6.7686649,1,1.0982896,2,3,0,6.8671823,0.22519261
-6.7686649,0.73905057,1.0982896,1,3,0,7.9896086,0.22519261
-6.8646003,0.98055103,1.0982896,1,3,0,6.8646171,0.1931093
-6.8672676,0.97229715,1.0982896,2,3,0,7.135399,0.19250445
-6.8672676,0.58350616,1.0982896,1,3,0,9.495466,0.19250445
-8.0490953,0.81007414,1.0982896,1,3,0,8.1509414,0.091012301
-9.3216196,0.86193997,1.0982896,1,1,0,9.325942,0.052595853
-9.9630951,0.95296168,1.0982896,1,1,0,10.133343,0.040940983
-8.8523873,1,1.0982896,1,1,0,9.9166785,0.063718651
-8.7610194,1,1.0982896,1,1,0,9.1462355,0.066217997
-9.8162556,0.91057893,1.0982896,1,1,0,9.8686274,0.043315721
-9.1930271,1,1.0982896,1,1,0,9.9343436,0.055387529
-6.8225711,0.89862585,1.0982896,1,3,0,9.2048667,0.20392347
-6.7733173,1,1.0982896,2,3,0,6.8103018,0.22261136
-6.8537873,0.92678679,1.0982896,2,3,0,7.2216198,0.19564602
-6.9895725,0.95882234,1.0982896,1,3,0,7.1739599,0.34276887
-7.339916,0.87305252,1.0982896,1,1,0,7.3988127,0.3991463
-6.7540122,1,1.0982896,1,3,0,7.1493012,0.2638456
-6.7491599,1,1.0982896,1,1,0,6.7524846,0.25599513
-7.2635602,0.86987005,1.0982896,1,3,0,7.2840218,0.38858731
-7.688274,0.8422567,1.0982896,1,1,0,7.8480984,0.44075146
