lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
-6.785322,0.99108756,0.91524172,1,3,0,6.7945824,0.28513032
-7.0854521,0.90015345,0.91524172,2,3,0,7.442226,0.36068142
-6.8584181,1,0.91524172,1,1,0,7.0262143,0.31155538
-6.8760008,0.9557544,0.91524172,2,3,0,7.1759538,0.19057673
-6.7675537,0.9743943,0.91524172,2,3,0,7.1003022,0.2752306
-7.0252604,0.96330779,0.91524172,2,3,0,7.0269461,0.16541761
-6.7481042,0.99717148,0.91524172,1,3,0,7.0629184,0.2483971
-6.7505938,0.95502931,0.91524172,2,3,0,7.0534216,0.24110694
-6.8503112,0.978527,0.91524172,1,3,0,6.8692292,0.19649266
-7.1547083,0.90999856,0.91524172,1,3,0,7.5484094,0.37218945
-7.3446637,0.94469995,0.91524172,1,1,0,7.4264079,0.39978131
-7.4364903,0.97237847,0.91524172,1,1,0,7.5900331,0.41163071
-7.5051227,0.97912677,0.91524172,1,1,0,7.6907874,0.42000912
-7.774072,0.91982527,0.91524172,1,1,0,7.9492263,0.44979529
-6.8037362,1,0.91524172,1,3,0,7.5393573,0.29318697
-7.4537527,0.77497101,0.91524172,2,7,0,8.1315785,0.1240123
-7.2808617,0.97645874,0.91524172,2,3,0,7.9400095,0.13774762
-6.813086,0.9910468,0.91524172,1,3,0,7.2386697,0.20681339
-7.4223422,0.85660659,0.91524172,1,3,0,7.8144465,0.40985545
-6.7914525,0.96267477,0.91524172,1,3,0,7.635632,0.21442002
-6.7528151,0.95016709,0.91524172,2,3,0,7.1518437,0.23789619
-7.1148843,0.91482143,0.91524172,1,3,0,7.2368198,0.36569317
-7.1465991,0.99070747,0.91524172,1,1,0,7.2419423,0.37089119
-6.7505349,1,0.91524172,2,3,0,7.1609042,0.24120846
-6.7490314,1,0.91524172,1,1,0,6.7502124,0.24441106
-6.7913254,0.98873236,0.91524172,1,3,0,6.8105043,0.28793009
-6.7803201,0.98767487,0.91524172,1,3,0,6.8779997,0.21916217
-8.0811173,0.82927577,0.91524172,2,3,0,8.1580243,0.089639153
-7.8707633,1,0.91524172,1,1,0,8.1601791,0.099266039
-7.9752254,0.99616748,0.91524172,2,3,0,8.110032,0.094300972
